216	Стивен Прессфилд	\N	\N	\N	2024-04-13 21:33:51.88576	\N
217	Джереми Левин	\N	\N	\N	2024-04-13 21:33:51.908643	\N
218	Эндрю Кевин Уокер	\N	\N	\N	2024-04-13 21:34:15.066923	\N
219	Марк Эндрус	\N	\N	\N	2024-04-13 21:34:18.097963	\N
220	Чарльз Рэндольф	\N	\N	\N	2024-04-13 21:34:31.957	\N
221	Ван Хуэйлин	\N	\N	\N	2024-04-13 21:34:43.563819	\N
222	Джеймс Шеймус	\N	\N	\N	2024-04-13 21:34:43.585757	\N
223	Куо Юнг Тсаи	\N	\N	\N	2024-04-13 21:34:43.608807	\N
224	Ду Лу Ван	\N	\N	\N	2024-04-13 21:34:43.629886	\N
225	Лукас Мудиссон	\N	\N	\N	2024-04-13 21:34:57.399921	\N
226	Стэнли Кубрик	\N	\N	\N	2024-04-13 21:35:11.808522	\N
227	Артур Ч. Кларк	\N	\N	\N	2024-04-13 21:35:11.830447	\N
228	Крис Сандерс	\N	\N	\N	2024-04-13 21:35:24.136499	\N
229	Дин ДеБлуа	\N	\N	\N	2024-04-13 21:35:24.157905	\N
230	Винченцо Черами	\N	\N	\N	2024-04-13 21:35:39.145038	\N
231	Роберто Бениньи	\N	\N	\N	2024-04-13 21:35:39.168104	\N
232	Сьюзен Суон	\N	\N	\N	2024-04-13 21:35:52.565364	\N
233	Джудит Томпсон	\N	\N	\N	2024-04-13 21:35:52.59107	\N
234	Дэвид МакКенна	\N	\N	\N	2024-04-13 21:36:06.352326	\N
235	Джина Принс-Байтвуд	\N	\N	\N	2024-04-13 21:36:20.054598	\N
236	Дэвид С. Уорд	\N	\N	\N	2024-04-13 21:36:33.516599	\N
237	Николь Холофсенер	\N	\N	\N	2024-04-13 21:36:48.34154	\N
238	Дэн О’Бэннон	\N	\N	\N	2024-04-13 21:37:06.706573	\N
239	Рональд Шусетт	\N	\N	\N	2024-04-13 21:37:06.729064	\N
241	Джон Фавро	\N	\N	\N	2024-04-13 21:37:43.976157	\N
242	Маршалл Брикмен	\N	\N	\N	2024-04-13 21:37:55.183034	\N
243	Майкл Слоун	\N	\N	\N	2024-04-13 21:38:12.788879	\N
244	Энтони Бёрджесс	\N	\N	\N	2024-04-13 21:38:21.612547	\N
245	Джузеппе Торнаторе	\N	\N	\N	2024-04-13 21:38:40.51454	\N
246	Салли Поттер	\N	\N	\N	2024-04-13 21:39:06.527461	\N
247	М. Найт Шьямалан	\N	\N	\N	2024-04-13 21:39:08.258508	\N
248	Трэйси Кинэн Винн	\N	\N	\N	2024-04-13 21:39:33.717212	\N
249	Чарли Флетчер	\N	\N	\N	2024-04-13 21:39:33.738579	\N
250	Крис Бэйкер	\N	\N	\N	2024-04-13 21:39:33.763882	\N
251	Эндрю Дэй	\N	\N	\N	2024-04-13 21:39:33.784979	\N
252	Питер Бенчли	\N	\N	\N	2024-04-13 21:39:34.071676	\N
253	Карл Готтлиб	\N	\N	\N	2024-04-13 21:39:34.094776	\N
254	Питер Шеффер	\N	\N	\N	2024-04-13 21:40:00.202385	\N
255	Зденек Малер	\N	\N	\N	2024-04-13 21:40:00.223815	\N
256	Грег Глиенна	\N	\N	\N	2024-04-13 21:40:01.374045	\N
257	Мэри Рут Кларк	\N	\N	\N	2024-04-13 21:40:01.396993	\N
258	Джим Херцфелд	\N	\N	\N	2024-04-13 21:40:01.420727	\N
259	Джон Гамбург	\N	\N	\N	2024-04-13 21:40:01.444282	\N
260	Скотт Маршалл Смит	\N	\N	\N	2024-04-13 21:40:29.572411	\N
261	Рэндалл Уоллес	\N	\N	\N	2024-04-13 21:40:30.421785	\N
262	Осаму Тэдзука	\N	\N	\N	2024-04-13 21:40:56.104145	\N
263	Кацухиро Отомо	\N	\N	\N	2024-04-13 21:40:56.126164	\N
264	Фриц Ланг	\N	\N	\N	2024-04-13 21:40:56.149227	\N
265	Теа фон Харбоу	\N	\N	\N	2024-04-13 21:40:56.1707	\N
266	Акира Куросава	\N	\N	\N	2024-04-13 21:40:56.697481	\N
267	Хидэо Огуни	\N	\N	\N	2024-04-13 21:40:56.723576	\N
268	Масато Идэ	\N	\N	\N	2024-04-13 21:40:56.746778	\N
269	Уильям Шекспир	\N	\N	\N	2024-04-13 21:40:56.772982	\N
270	Итан Коэн	\N	\N	\N	2024-04-13 21:41:13.793253	\N
271	Джоэл Коэн	\N	\N	\N	2024-04-13 21:41:13.815123	\N
272	Дж. Х. Уаймен	\N	\N	\N	2024-04-13 21:41:25.266171	\N
273	Хэмптон Фанчер	\N	\N	\N	2024-04-13 21:41:40.088792	\N
274	Дэвид Уэбб Пиплз	\N	\N	\N	2024-04-13 21:41:40.111148	\N
275	Филип К. Дик	\N	\N	\N	2024-04-13 21:41:40.132807	\N
276	Аки Каурисмяки	\N	\N	\N	2024-04-13 21:41:52.330261	\N
277	Джо Рэнфт	\N	\N	\N	2024-04-13 21:42:11.238542	\N
278	Джон Лассетер	\N	\N	\N	2024-04-13 21:42:11.263813	\N
279	Пит Доктер	\N	\N	\N	2024-04-13 21:42:11.287466	\N
280	Эш Брэннон	\N	\N	\N	2024-04-13 21:42:11.310855	\N
281	Эндрю Стэнтон	\N	\N	\N	2024-04-13 21:42:11.335327	\N
282	Рита Сяо	\N	\N	\N	2024-04-13 21:42:11.359944	\N
283	Даг Чемберлен	\N	\N	\N	2024-04-13 21:42:11.384665	\N
284	Крис Уэбб	\N	\N	\N	2024-04-13 21:42:11.407381	\N
285	Кэти Форд	\N	\N	\N	2024-04-13 21:42:18.594779	\N
286	Кэрин Лукас	\N	\N	\N	2024-04-13 21:42:18.618634	\N
287	Дэвид Гайлер	\N	\N	\N	2024-04-13 21:42:39.656233	\N
288	Уолтер Хилл	\N	\N	\N	2024-04-13 21:42:39.683323	\N
289	Сабрина Дхаван	\N	\N	\N	2024-04-13 21:42:45.524754	\N
290	Мило Аддика	\N	\N	\N	2024-04-13 21:43:11.005745	\N
291	Уилл Рокос	\N	\N	\N	2024-04-13 21:43:11.027486	\N
292	Дайан Джонсон	\N	\N	\N	2024-04-13 21:43:13.369749	\N
293	Брэд Силберлинг	\N	\N	\N	2024-04-13 21:43:37.491758	\N
294	Ричард Келли	\N	\N	\N	2024-04-13 21:43:41.632691	\N
